R	W2102	sp18:3a81
T	W2117	0990932510
R	W212c	sp18:3a7f
T	W212f	110
R	W2136	sp18:3a8e
R	W213d	sp18:3a92
R	W2144	sp18:3a8c
T	W2147	250717
R	W2154	sp18:3a98
R	W2161	sp18:3a96
T	W2164	301234
R	W2171	sp18:3aa1
R	W217e	sp18:3abd
R	W218b	sp18:3ac4
R	W2198	sp18:3acb
R	W21a5	sp06:20f3
R	W21a8	sp18:3ad2
T	W21ab	548418
R	W21b8	sp18:3aeb
T	W21c5	582809
R	W21d2	sp18:3ae9
R	W21d5	sp18:3af4
R	W21e2	sp18:3af2
T	W21e5	748500
T	W21f2	775014
T	W21ff	777605
R	W220c	sp18:3afb
R	W220f	sp18:3b04
T	W2212	967715
R	W221f	sp18:3b0d
T	W2222	*
T	W2225	No Call
R	W222e	sp13:387c:1
T	W2235	J_ Division
T	W2246	Junker ID
R	W2255	sp07:38d9:181
T	W2266	J Division
T	W2275	Q2
T	W227a	Honor
T	W2281	Ask Metal
T	W2292	Composite Photo
T	W22a3	Race
T	W22aa	Dunno
T	W22b3	America
T	W22bc	Alton Sighting
R	W22cd	sp17:3800:41
R	W22da	sp08:3a0a:41
T	W22e9	Ivan's
R	W22f2	sp05:3951:1
T	W22fb	Kinky
R	W2302	sp18:3800:1
R	W2309	sp18:38a2:1
R	W2312	sp03:38ba:1
T	W2317	Revolt
T	W2320	Memorial
T	W2329	Gillian's
R	W2334	sp03:3889:201
T	W2343	Gibson's
T	W234e	Quiz
R	W2355	sp18:3831:1
T	W235e	Dunno
R	W2365	sp18:3996:9
R	W236e	sp05:3983:1
R	W2377	sp14:39e0:1
T	W2384	War
T	W238d	Seki
T	W2392	So
R	W2397	sp18:39f3:1
T	W239e	Ask Out
T	W23ab	Prince
R	W23b2	sp03:383e:1
R	W23bb	sp05:3c31:1
R	W23c6	sp18:398d:1
T	W23d1	Netarou
T	W23da	Miss
T	W23e1	Hang Up Phone
T	W23f2	France
T	W23fb	Freddy's
R	W2406	sp18:38c8:1
R	W240d	sp03:38cf:1
R	W2414	sp18:397c:1
T	W2421	Together
T	W242a	Sea
T	W242d	Where
T	W2434	Update
T	W243d	Piece
R	W2440	sp18:3967:1
T	W2445	Paper
T	W244c	Money
T	W2453	Show Items
T	W245e	My Feelings
T	W246b	My Job
R	W2476	sp03:3909:1
T	W247b	Get Out
T	W2486	Job
T	W248b	Proof
R	W2492	sp18:3828:1
R	W2499	sp18:3962:1
T	W249e	Refuse
R	W24a7	sp18:3821:1
R	W24ae	sp18:3a7b:1
R	W24b5	sp03:3973:1
T	W24c0	Shop
T	W24c7	Location
T	W24d0	Caller
R	W24db	sp06:3922:1
R	W24e0	sp18:389c:1
T	W24e3	Park
T	W24ea	Old Man
R	W24f3	sp06:3ad5:1
T	M24f8	We're on the turbocycle. Where should we go?
T	M2518	Ivan's in the clear. We're done with him.
T	M2535	Shall we hurry to Freddy's place?
T	M2548	We've arrived at Junker HQ. What would you like to do?
T	M2564	We've arrived at Gillian's house. What would you like to do?
R	M257e	sp34:3b88
R	M25a0	sp34:3bcf
R	M25ba	sp34:3c81
T	M25d6	We've arrived at Plato's Cavern. What would you like to do?
T	M25f5	We've arrived at Ivan Rodriguez's house. What would you like to do?
T	M2613	We've arrived at Freddy Nielsen's house. What would you like to do?
T	M2633	All right, heading to Junker HQ.
T	M264d	All right, heading to Gillian's house.
T	M2664	All right, heading to Jean Jack Gibson's house.
T	M2684	All right, heading to Alton Plaza.
T	M269b	All right, heading to Outer Heaven.
T	M26b5	All right, heading to Plato's Cavern.
T	M26d1	All right, heading to Ivan Rodriguez's house.
T	M26ed	All right, heading to Freddy Nielsen's house.
T	M270a	All right, let's make a videophone call.
T	M271f	What number should we call?
T	M272c	She's gone out. Let's hurry over to Alton Plaza too.
T	M2753	Miss Jamie was just...
T	M2765	No, it's nothing...
T	M2773	You saw it a moment ago, didn't you? Miss Jamie went out.
T	M2795	Who on earth is Jamie talking to?
T	M27ad	Did you call Miss Jamie?
R	M27bf	sp18:3c23
T	M27c8	You sure know Miss Jamie's videophone number well, Gillian.
T	M27ee	T-that's...
T	M27f9	You asked someone for it, didn't you?
T	M2809	Well, does it matter?
T	M2817	...Who's she talking to?
T	M2829	Don't tell me... a man?
T	M2836	Keep that up and you'll fight again, you know?
T	M284c	...Let's just call back later, okay?
T	M2865	It's best not to get too involved with them anymore.
T	M2885	What was Jamie's videophone number again?
T	M28a0	...It's 39-3444.
T	M28b0	What was Napoleon's videophone number again?
T	M28cc	...It's 39-5644.
T	M28dc	What was Plato's Cavern's videophone number again?
T	M28fd	...It's 69-1170.
T	M290d	What was Isabella's videophone number again?
T	M2928	...It's 39-6004.
T	M2938	But... she's not there.
T	M2950	But... it's no use no matter how many times we call.
T	M2967	What was that videophone number written on the tissue I got in front of Alton Plaza?
T	M299b	...It's 55-6666.
T	M29ab	What was that videophone number I got for answering the quiz right?
T	M29d6	...It's 0990-932510.
T	M29ea	What was that videophone number written on the tissue I got in front of Alton Plaza?
T	M2a1e	...It's 55-6666.
T	M2a2e	It's the videophone number of the old man from outside Ivan's place.
T	M2a51	...It's 30-2501.
T	M2a61	Oh, it's you... Here for information?
T	M2a77	That's right. I need your help...
T	M2a8b	Before that, how about the code?
T	M2a9d	Oh, it's you?
T	M2aa9	Sorry it's not a woman.
T	M2abd	Well, fine. Let's start with the code, shall we?
T	M2ad3	What, again? ...C'mon, that's enough. I'm the real deal.
T	M2af4	A videophone's easy enough to fake. Can't be too careful.
T	M2b1a	Come on, give me a break?
T	M2b29	Don't say that. It's just a little ritual greeting.
T	M2b43	...Gillian, how did you know he was Jean's informant?
T	M2b6d	Guys like this have always been informants.
T	M2b90	Is that so?
T	M2b9d	I was just fishing for a reaction.
R	M2bac	sp18:429a
T	M2bb6	What are you muttering about?
T	M2bc6	All right, here comes the code word!
T	M2bd7	Revolution?
T	M2be0	A hundred days?
T	M2be7	Please enter using kana.
T	M2bf7	Way off!
T	M2c01	You haven't entered anything, have you?
T	M2c16	Still the same, huh.
T	M2c20	You're onto something subtle, but...
T	M2c33	That's a stale slogan.
T	M2c41	Talking about England?
T	M2c4d	It's a strange answer, but...
T	M2c5c	Are you trying to get it wrong on purpose?
